date,VULC3,BBDC3,ISAE4,POMO3,UNIP6,TAEE11,LAVV3,ITSA4,RDOR3,VIVA3
2022-07-28,6.5987071991,10.2587461472,17.3522281647,1.02659142017,49.6802482605,28.2124977112,3.14994192123,4.86460208893,26.8619041443,20.6115016937
2022-07-29,6.88065242767,10.2943143845,16.8566589355,1.03141117096,49.2603797913,28.1221427917,3.13703107834,4.85335636139,27.7176494598,20.3094673157
2022-08-01,7.03661823273,10.2729721069,17.2042961121,1.0410503149,48.8819122314,28.39320755,3.15639519691,4.80274152756,27.5037136078,20.6389560699
2022-08-02,7.24657964706,10.4277143478,17.4853649139,1.02177155018,49.4377975464,28.6851348877,3.17576026917,4.84773111343,28.1540813446,20.6664142609
2022-08-03,7.40254974365,10.5559206009,17.3670196533,1.03623044491,50.1415061951,28.6851348877,3.31776642799,4.88709926605,28.3423442841,21.3437023163
2022-08-04,7.50452804565,10.8123416901,17.4557819366,1.06514894962,50.324836731,29.0674114227,3.45977139473,4.99957466125,29.548948288,22.2864131927
2022-08-05,7.6784954071,10.912062645,17.6332950592,1.05068969727,49.9818458557,29.3037395477,3.55013871193,5.06705951691,28.8729152679,21.8562431335
2022-08-08,7.96043968201,10.9405527115,17.5889167786,1.05068969727,49.7985191345,29.6026153564,3.61468720436,5.13454627991,30.7812290192,21.9203128815
2022-08-09,7.88245582581,11.1115016937,17.7146606445,1.0410503149,50.2479553223,29.9570999146,3.59532213211,5.23015213013,29.7543258667,20.684720993
2022-08-10,8.03242683411,11.2895669937,17.6924686432,1.06996870041,51.0699501038,29.991853714,3.73732733727,5.25827074051,30.5416145325,22.3230228424
2022-08-11,7.74448108673,11.3465509415,17.4187965393,1.06032907963,51.276927948,29.296792984,3.45977139473,5.24140024185,29.6858654022,22.0759048462
2022-08-12,7.89445161819,11.5531082153,17.7886238098,1.07478773594,55.7121391296,29.6512756348,3.45977139473,5.30888605118,31.0379505157,22.9911594391
2022-08-15,7.83446359634,11.4106531143,17.8995704651,1.06996870041,56.8593788147,30.151720047,3.53722882271,5.31450796127,33.3741416931,23.1467514038
2022-08-16,7.91244745255,11.6100902557,17.8847770691,1.06032907963,56.2798500061,29.7854595184,3.48559045792,5.33700418472,32.0477256775,22.4237041473
2022-08-17,7.87645673752,11.6528301239,18.3433570862,1.06514894962,56.9501495361,30.2459125519,3.55013871193,5.342628479,30.6785316467,22.8538703918
2022-08-18,8.12240791321,11.7026834488,17.9291591644,1.06032907963,57.8300590515,30.1451969147,3.50495553017,5.342628479,30.6357479095,22.6708202362
2022-08-19,8.08041572571,11.5459871292,18.0770874023,1.0410503149,56.825340271,29.8574066162,3.32422041893,5.31982135773,29.8056793213,21.9294643402
2022-08-22,8.04442501068,11.4177742004,17.9587440491,1.03141117096,57.087436676,29.8286190033,3.22739887238,5.27454662323,28.8643493652,21.8837013245
2022-08-23,8.20639133453,11.4818840027,17.8108139038,1.05550920963,57.9985427856,29.7422924042,3.29194688797,5.27454662323,29.2494392395,22.9911594391
