point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
787,0.18,0.15,0.3,0.31,0.06,0.6603713647308453,0.18409078645445387,0.08367696137946384,-0.06858528852218826,2.6841147776887757,0.2446,True
788,0.17,0.18,0.28,0.32,0.05,0.624304114886169,0.1754561438463722,0.07675441819297986,-0.057601457582871496,3.046036527703185,0.2446,True
789,0.14,0.24,0.25,0.32,0.05,0.5919761255744007,0.16760737487806465,0.07085454622384108,-0.04914945253360903,3.410157514235842,0.2446,True
790,0.14,0.25,0.24,0.32,0.05,0.5855322828983838,0.16603022911234722,0.06975113726471917,-0.04656886922401038,3.5652621993824134,0.2446,True
791,0.17,0.28,0.18,0.32,0.05,0.5596273086132897,0.15964644464160171,0.06651976409195232,-0.0383573017619524,4.162087459445835,0.2446,True
792,0.28,0.1,0.28,0.27,0.07,0.7018511906906579,0.1938679762408666,0.09564011800538945,-0.07235860666419036,2.679266298487339,0.24460000000000004,True
793,0.27,0.1,0.28,0.28,0.07,0.7001311863318687,0.19346573154934132,0.09439521023292882,-0.07179509858835997,2.6946927485758425,0.24460000000000004,True
794,0.28,0.1,0.27,0.28,0.07,0.6979042412444838,0.19294452911060223,0.09452749397765868,-0.07003971001100129,2.754787663745267,0.24460000000000004,True
795,0.2,0.16,0.26,0.33,0.05,0.6268239592134714,0.1760635343510355,0.07719219953075834,-0.053620362561948354,3.2835200274452983,0.24460000000000004,True
796,0.2,0.17,0.24,0.34,0.05,0.6163836967009306,0.1735428829626433,0.07492046263505425,-0.04886847962949026,3.5512232890895343,0.24460000000000004,True
797,0.16,0.2,0.26,0.33,0.05,0.6096226604324311,0.17190473162824071,0.07343840181179231,-0.05253506262308305,3.2721904770835577,0.24460000000000004,True
798,0.17,0.2,0.24,0.34,0.05,0.6035438601660705,0.17042795996124505,0.07196355678719697,-0.04797204914363662,3.55265124178778,0.24460000000000004,True
799,0.17,0.24,0.2,0.34,0.05,0.5776582530689969,0.16409722913645708,0.06791589973606349,-0.03947377936120411,4.157119784120196,0.24460000000000004,True
800,0.16,0.26,0.2,0.33,0.05,0.5708531353271116,0.162421448413403,0.0671691038596836,-0.037909106222561495,4.2844969084694045,0.24460000000000004,True
801,0.21,0.13,0.31,0.29,0.06,0.674767824768034,0.1875024329200803,0.08779667521398586,-0.07211312997205421,2.600115027495583,0.2448,True
802,0.21,0.13,0.29,0.31,0.06,0.6669555442353172,0.1856535305080731,0.0852625812888007,-0.06712446138367745,2.7658103570752552,0.2448,True
803,0.22,0.14,0.24,0.34,0.06,0.6464210857457748,0.18076600760564832,0.08056527590093072,-0.054681399962031474,3.3058043087990585,0.24480000000000002,True
804,0.18,0.16,0.26,0.34,0.06,0.6421722449232354,0.17974964878656108,0.07872448166682636,-0.05817876985839043,3.0896089625834176,0.24480000000000002,True
805,0.15,0.22,0.25,0.33,0.05,0.598859432902682,0.16928738601844695,0.07147383776556314,-0.049704897889918276,3.4058491859970963,0.24480000000000002,True
806,0.15,0.25,0.22,0.33,0.05,0.5794985140989399,0.16454957082819077,0.06825882828147155,-0.04201839150954756,3.916132077326217,0.24480000000000002,True
807,0.23,0.12,0.3,0.29,0.06,0.676970999403304,0.188022809962886,0.08862109659938297,-0.07018488160777614,2.6789645527029573,0.245,True
808,0.23,0.12,0.29,0.3,0.06,0.6730497982469203,0.18709632822192335,0.08738937011950611,-0.06768970349878223,2.764029365637409,0.245,True
809,0.18,0.15,0.32,0.29,0.06,0.6681333984530569,0.18593265806852943,0.08631947689045373,-0.07357197320355835,2.527221304151955,0.245,True
810,0.18,0.15,0.29,0.32,0.06,0.6564883745994465,0.1831672275024563,0.08237666615839484,-0.06607948214863424,2.7719228654131043,0.245,True
811,0.2,0.2,0.2,0.35,0.05,0.5929440701476687,0.16784391370048835,0.07083269069914101,-0.044356744090552014,3.7839547771550506,0.245,True
812,0.28,0.1,0.29,0.26,0.07,0.7057967547838597,0.19478967315849682,0.09676965067156172,-0.07467065433865339,2.6086509470650725,0.24500000000000002,True
813,0.29,0.1,0.28,0.26,0.07,0.7035709108267472,0.1942698835672514,0.09690734659178872,-0.07292192416033516,2.6640806013306175,0.24500000000000002,True
814,0.26,0.1,0.29,0.28,0.07,0.7023465999728438,0.19398378366156965,0.09432883280054974,-0.07354589388508181,2.6375882243633684,0.24500000000000002,True
815,0.26,0.1,0.28,0.29,0.07,0.6984108987331215,0.1930631491312358,0.09317369004296118,-0.0712313998361086,2.710365787776759,0.24500000000000002,True
816,0.29,0.1,0.26,0.28,0.07,0.6956657505594233,0.19242016495809633,0.09472527067682322,-0.06827971005328048,2.818116316076119,0.24500000000000002,True
