date,portfolio,ifix
2024-06-12,11837.476705620562,11758.652317259306
2024-06-13,11717.747183416319,11671.146429823535
2024-06-14,11759.193668411732,11730.923822778444
2024-06-17,11722.776559531747,11707.338666553344
2024-06-18,11685.283047237053,11691.331923890062
2024-06-19,11651.498795897762,11687.011519896878
2024-06-20,11690.326792699681,11691.615229069945
2024-06-21,11743.18668062755,11684.143054950582
2024-06-24,11785.28426052831,11672.987913492763
2024-06-25,11799.974019454927,11690.69448723533
2024-06-26,11881.511258807903,11725.470198065736
2024-06-27,11946.799524158347,11785.92044082286
2024-06-28,12018.65950026626,11853.949097141805
2024-07-01,11896.88991414187,11753.057039956655
2024-07-02,11906.943472739613,11705.85131435897
2024-07-03,11904.950334844745,11696.325177685469
2024-07-04,12018.552422163653,11770.161590191974
2024-07-05,12103.136936270621,11833.799016222763
2024-07-08,12134.375487991965,11854.055336584262
2024-07-09,12083.861830359128,11860.429703131585
2024-07-10,12106.83083674417,11860.004745361763
2024-07-11,12150.23052366071,11865.670848959384
2024-07-12,12256.68162794046,11934.478594523003
2024-07-15,12276.094952275245,11952.858018067789
2024-07-16,12275.797077345807,11980.232381073796
2024-07-17,12246.297246991086,11998.328499438701
2024-07-18,12258.397922038148,11978.992920911818
2024-07-19,12269.913604066827,12011.148058828321
2024-07-22,12246.65577065844,12008.562899061906
2024-07-23,12249.617228544306,11991.56458826904
2024-07-24,12232.860257567538,11974.991235245998
2024-07-25,12226.41058807574,11951.937276233175
2024-07-26,12250.883348923264,11954.947393769411
2024-07-29,12143.435510387933,11875.374051370312
2024-07-30,12241.299973111396,11893.15145140785
2024-07-31,12231.323951737246,11915.745039503367
2024-08-01,12173.91609964086,11918.648917597147
2024-08-02,12184.06935364733,11930.583148299638
2024-08-05,12077.128237629815,11872.753478456412
2024-08-06,12076.58095035477,11854.338641764141
2024-08-07,12077.902025209569,11860.890074048892
2024-08-08,12063.938711265571,11845.91031266268
2024-08-09,12088.520503435437,11863.298168077881
2024-08-12,12090.521879565289,11871.372365704492
2024-08-13,12070.061729921765,11881.819244212606
2024-08-14,12104.915755532593,11909.795630725863
2024-08-15,12137.560547015748,11948.466787779631
2024-08-16,12185.25358123959,11988.979428502626
2024-08-19,12132.255635897474,11976.797305767739
2024-08-20,12163.817432821706,11978.567963141997
2024-08-21,12128.94859732308,11976.089042818037
2024-08-22,12182.732645599634,11964.827661917763
2024-08-23,12233.791369792347,11999.532546453198
2024-08-26,12261.48412798589,11994.043508593
2024-08-27,12237.612275946445,11983.525803789917
2024-08-28,12207.05383714962,11975.593258753246
2024-08-29,12249.219119891057,11990.431367549516
2024-08-30,12234.062148763845,12017.628664818101
2024-09-02,12203.286194990658,12002.64890343189
2024-09-03,12166.160272864174,11982.782127692728
2024-09-04,12087.57303882228,11988.58988388029
2024-09-05,12060.901563098458,11978.036765929719
2024-09-06,12054.495243455773,11992.874874725992
2024-09-09,12038.69633120265,11977.540981864928
2024-09-10,12005.023044350768,11940.959200512783
2024-09-11,11978.040906289962,11924.598326374651
2024-09-12,11896.945660042593,11893.470169735216
2024-09-13,11920.515139940744,11914.04520842408
2024-09-16,11868.582694628823,11901.367301624401
2024-09-17,11846.03302156489,11876.365619499895
2024-09-18,11804.68910810162,11863.935604732615
2024-09-19,11830.701945816985,11830.186875179279
2024-09-20,11750.442347871109,11805.22060620226
2024-09-23,11706.134043930097,11728.728207634367
2024-09-24,11736.467789373242,11698.839511156913
2024-09-25,11669.499019388257,11664.13462662148
2024-09-26,11690.069848510171,11665.586565668369
2024-09-27,11685.249746959133,11718.67087374859
2024-09-30,11659.524609564165,11707.480319143284
2024-10-01,11523.255517195696,11609.492140051916
2024-10-02,11534.995741178418,11611.475276311083
2024-10-03,11519.112959157746,11585.765331236875
2024-10-04,11567.684870429805,11602.40951055489
2024-10-07,11544.396453771766,11600.638853180633
2024-10-08,11528.79501293675,11534.026722761093
2024-10-09,11415.744032063145,11445.989638113046
2024-10-10,11371.215291831093,11367.159971811134
2024-10-11,11337.909003512845,11391.736696165819
2024-10-14,11374.199898908111,11432.745120953605
2024-10-15,11414.607697835594,11451.620328563182
2024-10-16,11428.800964840153,11451.372436530786
2024-10-17,11388.51958706583,11439.650684713208
2024-10-18,11479.118652426143,11459.87159192722
2024-10-21,11412.563109112354,11395.632142389182
2024-10-22,11380.424462873018,11359.829450281713
2024-10-23,11260.61138708098,11258.618674769194
2024-10-24,11189.654445970176,11222.532677481842
2024-10-25,11282.464810389223,11267.224069608084
2024-10-28,11322.081626102083,11296.192024250924
2024-10-29,11331.710839566063,11321.866556177647
2024-10-30,11329.375863188843,11356.50061441811
2024-10-31,11349.453539215754,11349.347158626113
2024-11-01,11229.08884694134,11326.470265350714
2024-11-04,11172.942351431371,11286.630474429938
2024-11-05,11165.335614457012,11288.330305509224
2024-11-06,11170.82012965944,11261.026768798183
2024-11-07,11169.28664037227,11276.289835364278
2024-11-08,11204.605168911934,11317.510739036976
2024-11-11,11116.853617670062,11219.239254765725
2024-11-12,11052.31329271398,11171.643984545703
2024-11-13,11019.078713722445,11143.030161377714
2024-11-14,11028.119726232728,11160.09929846555
2024-11-18,11008.991461867568,11180.815989744353
2024-11-19,11048.096780058939,11201.14313640082
2024-11-21,11033.797016403958,11197.35392961991
2024-11-22,11099.83871648512,11246.71985721419
2024-11-25,11148.136063090464,11266.374154068439
2024-11-26,11073.651252359678,11276.077356479369
2024-11-27,11053.006119757107,11230.783940845879
2024-11-28,10855.25609329837,11114.59340394715
2024-11-29,10898.552395376108,11110.272999953962
2024-12-02,10763.750080640608,10990.18701683187
2024-12-03,10661.875217747318,10879.343865203395
2024-12-04,10478.508663118844,10706.988076393241
2024-12-05,10288.276543578335,10501.733473569397
2024-12-06,10558.67700819777,10687.546258423903
2024-12-09,10436.637070960722,10620.296691349631
2024-12-10,10453.732467401438,10500.564839702387
2024-12-11,10378.439809289324,10436.289977016868
2024-12-12,10314.137908401039,10436.50245590178
2024-12-13,10363.791286186977,10534.136503518297
2024-12-16,10328.471565755872,10472.659279484102
2024-12-17,10235.576749311027,10354.23771429381
2024-12-18,10010.459856264959,10226.077533545104
2024-12-19,9951.517820845822,10193.284958973869
2024-12-20,10200.191209145707,10435.050516854886
2024-12-23,10413.85903120665,10696.789089917524
2024-12-26,10581.882165219315,10868.011658008152
2024-12-27,10722.72115275855,11023.121243993044
2024-12-30,10665.838381921412,11035.728324497753
2025-01-02,10715.389841581089,11039.482118131178
2025-01-03,10661.167239269149,11037.215676692129
2025-01-06,10691.265648376659,11045.112808581314
2025-01-07,10637.01127357259,11030.628831259894
2025-01-08,10605.46839220145,10926.797482833477
2025-01-09,10476.318926635786,10871.730038494092
2025-01-10,10545.104793050492,10895.17354212925
2025-01-13,10486.269544010234,10864.009972342332
2025-01-14,10458.736850887579,10855.262924913504
2025-01-15,10527.812286125569,10945.424798410659
2025-01-16,10508.555792263678,10921.768815890588
2025-01-17,10545.648059492558,10771.51083111116
2025-01-20,10492.519429884595,10761.630562962806
2025-01-21,10463.080633852569,10690.166831337801
2025-01-22,10404.789968676772,10661.588421317298
2025-01-23,10388.286581603134,10614.666000899495
2025-01-24,10419.796737269698,10627.131428814262
2025-01-27,10359.571827798647,10585.343914781803
2025-01-28,10333.341238999392,10533.817785190931
2025-01-29,10287.055698008307,10534.171916665782
2025-01-30,10369.279177579185,10612.116254280563
2025-01-31,10453.895516490076,10697.001568802434
2025-02-03,10347.85740227542,10629.25621766337
2025-02-04,10368.35657806599,10623.944245540599
2025-02-05,10311.523934909144,10602.9796622294
2025-02-06,10312.021743990952,10608.645765827021
2025-02-07,10321.836842592078,10650.468693006966
2025-02-10,10307.013598082676,10640.163467088792
2025-02-11,10281.199254356641,10639.171898959208
2025-02-12,10212.17908771244,10642.713213707722
2025-02-13,10187.130490492273,10616.826202896085
2025-02-14,10260.531221198602,10688.927371175823
2025-02-17,10298.70363013136,10782.1347753567
2025-02-18,10327.460054984786,10838.229200973155
2025-02-19,10264.814331987545,10837.343872286025
2025-02-20,10270.979940511694,10890.994790726005
2025-02-21,10296.585624673291,11003.36070769634
2025-02-24,10294.586163417842,11026.025122086827
2025-02-25,10279.339342873982,11042.421409372444
2025-02-26,10285.193062737406,11000.24435071765
2025-02-27,10273.364638868708,11033.001512141398
2025-02-28,10283.424416459275,11054.143161190024
2025-03-05,10322.126402925933,11056.374189481588
2025-03-06,10364.139827857216,11122.45512268885
2025-03-07,10416.410754167311,11194.485464673617
2025-03-10,10423.393264580342,11207.092545178322
2025-03-11,10430.274930547352,11240.66420899423
2025-03-12,10400.344135553914,11280.64565250495
2025-03-13,10412.878808141031,11291.163357308034
2025-03-14,10465.531158480258,11377.075653106975
2025-03-17,10450.316014415854,11403.352208540944
2025-03-18,10492.46492680272,11463.023362053396
2025-03-19,10511.104624304373,11529.068882113173
2025-03-20,10542.648683804196,11541.251004848062
2025-03-21,10497.298403683375,11539.86989209614
2025-03-24,10522.280158440553,11549.006484147303
2025-03-25,10509.714617597368,11565.33194513795
2025-03-26,10579.766363029157,11588.952514510538
2025-03-27,10590.671425335651,11636.760263615472
2025-03-28,10619.829117225308,11692.74844978947
2025-03-31,10679.71226137115,11732.694480152702
2025-04-01,10776.989389976632,11726.992963407594
2025-04-02,10736.853871553792,11719.80409446811
2025-04-03,10716.836949610857,11704.293135869624
2025-04-04,10663.218618786688,11615.193656797022
2025-04-07,10607.644652106059,11522.340384091
2025-04-08,10575.282949973047,11485.758602738853
2025-04-09,10614.037863425192,11496.984570491642
2025-04-10,10592.298956091085,11497.374115113977
2025-04-11,10594.650912552863,11536.434816790083
2025-04-14,10734.983153661167,11617.460098236072
2025-04-15,10739.779383173478,11659.672570038352
2025-04-16,10766.672597428289,11717.927197651401
2025-04-17,10843.591968535924,11804.4061038101
2025-04-22,10899.446587553988,11865.529196369444
2025-04-23,10987.08429608553,11899.596644250143
2025-04-24,11073.461200314108,11918.436438712237
2025-04-25,11159.355301303818,12009.094096274182
2025-04-28,11156.93491834475,12022.232373991168
2025-04-29,11170.58392059987,12045.357159298961
2025-04-30,11204.147540390313,12085.480255399621
2025-05-02,11294.801359164332,12109.384129952086
2025-05-05,11185.597178420416,12011.254298270776
2025-05-06,11221.003595513232,11989.404386272447
2025-05-07,11248.843481432335,11998.682630913552
2025-05-08,11207.005728579117,12004.348734511177
2025-05-09,11284.553893571177,12068.481944606754
2025-05-12,11281.026430164415,12064.586498383389
2025-05-13,11368.715676830921,12082.080593241048
2025-05-14,11322.65523713008,12061.718033437095
2025-05-15,11437.067639530156,12121.566252686973
2025-05-16,11466.776835738438,12178.82931217044
2025-05-19,11472.802163738297,12165.230663536144
2025-05-20,11480.965122952275,12172.065401000775
2025-05-21,11492.7298130641,12168.807391432141
2025-05-22,11500.250165722997,12171.427964346045
2025-05-23,11509.58168395704,12183.220542458592
2025-05-26,11470.193643397592,12168.524086252262
2025-05-27,11492.54061252063,12175.960847224142
2025-05-28,11527.080894589262,12192.286308214789
2025-05-29,11555.27766851591,12203.441449672606
2025-05-30,11594.685176654259,12259.783767321454
2025-06-02,11513.540335492056,12199.616829744211
2025-06-03,11572.528188281962,12232.338578020477
2025-06-04,11562.83873086779,12210.169947694782
2025-06-05,11659.134531469239,12210.842797496998
2025-06-06,11694.652298672472,12215.340267227612
2025-06-09,11553.252721264202,12098.016509609357
2025-06-10,11579.474932245303,12068.056986836933
