date,CXSE3,FIQE3,UNIP3,MBRF3,TAEE3,BMOB3,POMO3,JHSF3,PSSA3,LAVV3,SIMH3,AZZA3,PFRM3
2025-07-15,13.2824029922,2.81239771843,44.5507583618,23.6000003815,10.3106307983,20.2822666168,5.12057304382,4.86152124405,49.4979934692,11.0063476562,8.84401512146,32.893081665,7.67080593109
2025-07-16,12.9147233963,2.83544993401,44.542224884,23.2000007629,10.2830133438,20.4102878571,5.08172178268,4.82433986664,48.500125885,10.7077255249,8.7851858139,32.9021644592,7.61515331268
2025-07-17,12.9147233963,2.83544993401,44.4995689392,23.2600002289,10.2369842529,19.9987926483,5.08172178268,4.77786254883,48.9519882202,10.6821298599,8.70674610138,33.0657234192,7.68935680389
2025-07-18,12.8411884308,2.81239771843,42.7250480652,22.6399993896,10.2830133438,19.7518920898,5.00401926041,4.68490839005,48.7731285095,10.2981872559,8.33415985107,32.4296684265,7.43892002106
2025-07-21,12.8319959641,2.78166055679,41.9316329956,22.8299999237,10.3750724792,19.5964374542,5.0506401062,4.60125017166,48.9990539551,10.204334259,8.09884262085,32.2842826843,7.3276143074
2025-07-22,12.5654287338,2.78166055679,42.2216949463,23,10.2185726166,19.5141391754,5.08172178268,4.67561388016,48.5754318237,10.0678224564,8.17728233337,32.7022628784,7.3276143074
2025-07-23,12.6205797195,2.79702925682,42.110786438,23.2199993134,10.3382482529,19.3129634857,5.16719388962,4.83363580704,49.0461273193,10.1702060699,8.25572109222,33.7290382385,7.49457216263
2025-07-24,12.5010852814,2.77397656441,41.8377876282,22.9799995422,10.2830133438,18.9288978577,5.15942335129,4.72209024429,48.6036758423,10.1190137863,8.5694770813,33.1747589111,7.22558403015
2025-07-25,12.5102767944,2.76629304886,41.7865982056,23.2600002289,10.172542572,18.6179885864,5.21381568909,4.75927257538,48.2930183411,10.1275453568,8.60869693756,33.0475502014,7.22558403015
2025-07-28,12.5010852814,2.74324035645,41.6330337524,22.9099998474,10.1633367538,18.6271343231,5.12057304382,4.74068117142,47.7658500671,9.99956512451,8.4125995636,31.9480838776,7.06790065765
