TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;33,39;6,06;7,34;1,84;0,13;48,47;7,21;7,52;7,66;8,11;;;0,55;0,84;-0,15;;25,07;1,76;;0,07;0,93;0,23;21,54;33,90;8.229,00;18,14;4,55;-3,25;3.707.434.320,12
BMEB4;38,61;5,77;8,49;2,13;0,15;48,47;7,21;7,52;8,86;8,11;;;0,64;0,97;-0,18;;25,07;1,76;;0,07;0,93;0,23;21,54;33,90;315.739,33;18,14;4,55;-3,76;3.707.434.320,12
BMGB4;3,67;10,52;7,47;0,49;0,04;48,14;2,02;3,17;11,71;11,71;;;0,24;-0,05;-0,04;0,01;6,53;0,57;;0,09;0,91;0,18;20,01;-5,85;1.531.355,14;7,52;0,49;-0,61;2.140.462.948,37
BMIN3;20,00;1,77;11,63;0,69;0,18;35,13;29,40;17,63;6,97;6,81;;;2,05;402,10;-0,18;;5,94;1,53;;0,26;0,74;0,09;24,69;30,09;2.000,00;28,96;1,72;2,20;94.231.542,40
BMIN4;16,80;8,33;9,77;0,58;0,15;35,13;29,40;17,63;5,86;6,81;;;1,72;337,76;-0,15;;5,94;1,53;;0,26;0,74;0,09;24,69;30,09;2.964,75;28,96;1,72;1,85;94.231.542,40
BMKS3;399,00;8,30;12,05;0,88;0,76;30,53;13,56;96,22;85,47;8,31;-77,16;-0,79;11,59;1,05;-3,28;20,54;7,29;6,35;-0,81;0,87;0,13;0,07;-0,59;41,18;17.345,33;454,30;33,13;-0,81;181.445.250,00
BMOB3;21,60;6,20;14,36;1,59;1,14;23,47;8,07;8,40;14,95;10,74;-4,21;-0,45;1,21;2,75;-3,38;2,65;11,07;7,91;6,21;0,71;0,28;0,94;57,50;28,72;5.775.430,76;13,59;1,50;0,35;1.849.141.267,20
BNBR3;92,10;6,52;4,16;0,64;0,13;43,89;47,15;25,45;2,25;2,25;;;1,06;5,59;-0,13;;15,47;3,08;;0,20;0,80;0,12;8,63;4,68;35.698,75;143,01;22,12;1,01;9.090.246.882,90
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;1,98;4.212.250.617,75
BOBR3;1,00;;3,57;275,96;0,28;41,02;13,83;4,73;1,22;2,73;1,23;277,35;0,17;-15,43;-0,61;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;0,00;0,00;0,28;-0,11;319.499.120,76
BOBR4;1,48;;5,29;408,43;0,42;41,02;13,83;4,73;1,81;2,73;1,23;277,35;0,25;-22,84;-0,91;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;6.993,62;0,00;0,28;-0,16;319.499.120,76
BPAC11;40,26;1,12;13,70;2,46;0,25;40,18;40,87;33,57;11,25;11,25;;;4,60;-0,36;-0,25;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;276.676.452,62;16,38;2,94;1,58;154.412.129.433,76
BPAC3;22,64;0,67;23,11;4,15;0,43;40,18;40,87;33,57;18,98;11,25;;;7,76;-0,60;-0,43;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;54.356,62;5,46;0,98;2,66;154.412.129.433,76
BPAC5;8,87;1,70;9,05;1,62;0,17;40,18;40,87;33,57;7,44;11,25;;;3,04;-0,24;-0,17;0,01;17,94;1,84;;0,10;0,89;0,05;25,49;24,61;22.412,43;5,46;0,98;1,04;154.412.129.433,76
BPAN4;7,59;3,18;22,13;1,29;0,15;41,02;1,14;3,24;62,82;62,82;;;0,72;-199,49;-0,15;0,08;5,83;0,66;;0,11;0,89;0,21;10,77;-6,88;7.482.217,71;5,88;0,34;-0,85;9.632.241.983,10
BPAR3;117,42;6,67;3,19;0,52;0,06;53,91;15,26;10,23;2,14;2,14;;;0,33;4,53;-0,06;;16,20;1,87;;0,12;0,88;0,18;14,76;1,60;0,00;227,39;36,84;0,22;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;14,99;12,30;5,05;0,68;0,67;;;;5,33;4,94;-0,64;-0,08;;9,99;-0,73;5,83;13,47;13,27;12,72;0,99;0,01;0,00;;;476.641,95;22,05;2,97;-0,24;6.180.788.768,46
BRAP4;16,12;12,58;5,43;0,73;0,72;;;;5,73;4,94;-0,64;-0,08;;10,75;-0,78;5,83;13,47;13,27;12,72;0,99;0,01;0,00;;;40.469.098,90;22,05;2,97;-0,26;6.180.788.768,46
BRAV3;18,64;;55,78;0,78;0,20;27,19;27,69;1,62;3,26;8,27;5,01;1,19;0,90;4,18;-0,24;1,40;1,39;0,36;9,09;0,26;0,74;0,22;206,24;;119.376.491,81;24,02;0,33;-48,26;8.652.454.291,68
BRBI11;16,21;12,40;9,09;2,14;0,11;100,00;5,56;51,05;83,47;27,73;-55,74;-1,43;4,64;2,68;-10,51;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;2.433.453,86;7,58;1,78;0,98;1.701.980.361,84
BRBI3;0,00;;0,00;0,00;0,00;100,00;5,56;51,05;0,00;27,73;-55,74;-1,43;0,00;0,00;0,00;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;;2,53;0,59;0,00;1.701.980.361,84
BRBI4;0,00;;0,00;0,00;0,00;100,00;5,56;51,05;0,00;27,73;-55,74;-1,43;0,00;0,00;0,00;1,04;23,53;1,21;-0,11;0,05;0,95;0,02;-5,26;19,61;;2,53;0,59;0,00;1.701.980.361,84
BRFS3;20,16;3,50;8,85;2,11;0,54;26,24;11,77;6,03;4,54;5,47;0,93;0,43;0,53;3,43;-1,08;1,46;23,89;6,09;14,44;0,26;0,72;1,01;12,91;66,71;194.852.772,38;9,54;2,28;-0,01;33.918.660.639,36
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
