TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
CORR3,2.71,,0.01,0.01,0.0,100.0,2560.96,2141.14,0.01,-1.26,-1.41,-2.58,0.19,0.01,-0.02,4.25,152.84,44.18,126.45,0.29,0.71,0.02,-16.36,,,201.49,307.95,0.0,1278894.65,Financeiro e Outros
CORR4,82.0,,0.27,0.41,0.12,100.0,2560.96,2141.14,0.22,-1.26,-1.41,-2.58,5.7,0.2,-0.48,4.25,152.84,44.18,126.45,0.29,0.71,0.02,-16.36,,,201.49,307.95,0.0,1278894.65,Financeiro e Outros
CRIV3,6.98,,35.1,0.66,0.04,20.26,0.43,0.99,81.37,80.16,,,0.35,0.07,-0.09,131.56,1.89,0.12,,0.06,0.94,0.12,27.56,-21.36,,10.5,0.2,-0.75,707929532.0,Financeiro e Outros
CRIV4,6.74,,33.89,0.64,0.04,20.26,0.43,0.99,78.57,80.16,,,0.33,0.07,-0.09,131.56,1.89,0.12,,0.06,0.94,0.12,27.56,-21.36,,10.5,0.2,-0.72,707929532.0,Financeiro e Outros
CSAB3,30.5,,12.39,1.11,0.57,-124.0,1656.27,2521.73,18.86,24.57,,,312.32,3.54,-0.71,4.45,8.94,4.57,,0.51,0.49,0.0,-33.4,-1.31,,27.56,2.46,-0.02,305164800.0,Financeiro e Outros
CSAB4,48.97,,19.89,1.78,0.91,-124.0,1656.27,2521.73,30.28,24.57,,,501.45,5.68,-1.15,4.45,8.94,4.57,,0.51,0.49,0.0,-33.4,-1.31,,27.56,2.46,-0.03,305164800.0,Financeiro e Outros
CXSE3,16.19,7.78,11.07,3.6,3.32,,,,10.15,9.92,-0.23,-0.08,,58.78,-3.83,1.75,32.48,29.99,31.0,0.92,0.08,0.0,,23.35,56559840.38,4.5,1.46,0.45,48570000000.0,Financeiro e Outros
EPAR3,4.18,43.96,10.63,1.49,1.09,80.4,-115.99,273.93,-25.11,-23.73,1.38,-0.08,29.12,9.23,-1.29,4.12,13.99,10.26,-21.31,0.73,0.27,0.04,-44.69,-9.58,68308.71,2.81,0.39,-0.08,62117174.24,Financeiro e Outros
FICT3,2.22,,-3.8,1.64,1.08,-727.29,-177.32,-738.88,-15.83,-8.93,6.89,-0.72,28.06,1.76,-10.6,3.17,-43.25,-28.48,-93.32,0.66,0.34,0.04,,,84861.52,1.35,-0.58,0.02,97374095.1,Financeiro e Outros
FIGE3,21.07,,3.57,0.27,0.26,100.0,93.05,62.25,2.39,0.8,,,2.22,24904.07,-0.26,,7.64,7.39,,0.97,0.03,0.12,6.8,12.43,4214.0,77.27,5.9,0.15,16690052.68,Financeiro e Outros
FIGE4,0.0,,0.0,0.0,0.0,100.0,93.05,62.25,0.0,0.8,,,0.0,0.0,0.0,,7.64,7.39,,0.97,0.03,0.12,6.8,12.43,,77.27,5.9,0.0,16690052.68,Financeiro e Outros
FNCN3,14.25,,-0.04,0.03,0.0,-82.62,-98.66,-59.2,-0.02,-0.02,,,0.02,0.01,-0.02,1.56,-65.31,-10.62,,0.16,0.84,0.18,187.45,,,555.08,-362.52,0.0,13021336.5,Financeiro e Outros
FTRT3B,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.95,-0.9,-2.42,0.95,0.05,0.0,,,,0.01,0.0,0.0,0.0,Financeiro e Outros
G2DI33,1.56,,-9.19,0.24,0.23,100.0,1028.02,1303.14,-11.65,-14.16,-2.51,0.05,,-5.74,-0.23,0.17,-2.65,-2.49,-1.97,0.94,0.06,0.0,,,62395.0,6.4,-0.17,0.11,179487965.28,Financeiro e Outros
GETT11,10.0,,31.44,5.16,0.34,41.43,18.41,17.71,30.25,,0.99,0.17,5.57,13.05,-8.16,1.03,16.41,1.07,7.88,0.07,0.93,0.06,,,0.0,1.94,0.32,0.47,,Financeiro e Outros
